look_id,category,product_id
1,sporty,16
1,sporty,368
1,sporty,501
1,sporty,768
2,party,86
2,party,341
2,party,553
2,party,762
3,formal,81
3,formal,412
3,formal,628
4,sporty,23
4,sporty,385
4,sporty,506
5,sporty,13
5,sporty,457
5,sporty,511
6,business casual,93
6,business casual,346
6,business casual,736
6,business casual,970
7,formal,80
7,formal,420
7,formal,671
8,party,171
8,party,422
8,party,671
9,business casual,90
9,business casual,326
9,business casual,711
10,sporty,14
10,sporty,387
10,sporty,526
10,sporty,771
11,sporty,9
11,sporty,370
11,sporty,507
11,sporty,857
12,business casual,95
12,business casual,420
12,business casual,721
12,business casual,934
13,formal,98
13,formal,317
13,formal,674
13,formal,935
14,sporty,15
14,sporty,356
14,sporty,519
15,business casual,40
15,business casual,414
15,business casual,641
15,business casual,754
16,casual,112
16,casual,292
16,casual,539
16,casual,858
17,party,179
17,party,419
17,party,562
18,sporty,222
18,sporty,372
18,sporty,509
18,sporty,998
19,sporty,21
19,sporty,354
19,sporty,504
20,formal,74
20,formal,412
20,formal,624
21,formal,74
21,formal,338
21,formal,702
21,formal,968
22,sporty,4
22,sporty,487
22,sporty,504
23,formal,83
23,formal,311
23,formal,703
23,formal,822
24,casual,162
24,casual,253
24,casual,527
25,formal,107
25,formal,318
25,formal,682
26,casual,26
26,casual,283
26,casual,535
27,party,84
27,party,318
27,party,687
28,casual,135
28,casual,378
28,casual,595
29,sporty,237
29,sporty,363
29,sporty,520
29,sporty,940
30,party,101
30,party,350
30,party,581
31,formal,99
31,formal,321
31,formal,633
31,formal,798
32,casual,13
32,casual,368
32,casual,520
32,casual,976
33,business casual,96
33,business casual,421
33,business casual,733
34,party,102
34,party,401
34,party,572
35,party,84
35,party,429
35,party,677
36,business casual,101
36,business casual,312
36,business casual,745
37,business casual,84
37,business casual,315
37,business casual,724
37,business casual,943
38,formal,95
38,formal,442
38,formal,702
39,business casual,85
39,business casual,437
39,business casual,636
40,party,172
40,party,423
40,party,702
41,formal,91
41,formal,326
41,formal,631
41,formal,777
42,business casual,53
42,business casual,445
42,business casual,661
42,business casual,763
43,party,82
43,party,330
43,party,580
43,party,895
44,casual,130
44,casual,275
44,casual,613
45,casual,14
45,casual,367
45,casual,593
45,casual,889
46,formal,246
46,formal,419
46,formal,696
47,formal,79
47,formal,326
47,formal,677
48,party,250
48,party,435
48,party,671
48,party,934
49,sporty,20
49,sporty,399
49,sporty,501
50,formal,85
50,formal,302
50,formal,695
51,business casual,94
51,business casual,303
51,business casual,647
51,business casual,883
52,party,247
52,party,410
52,party,545
52,party,907
53,formal,64
53,formal,331
53,formal,658
